Stock,yr,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Alosa.spp,1968,1.35170045194458,0.0211016424038038,1.35170045194458,0.0211016424038038
Alosa.spp,1969,1.74014260684941,0.0614671596347712,1.74014260684941,0.0614671596347712
Alosa.spp,1970,1.45893590594965,0.0472636206559382,1.45893590594965,0.0472636206559382
Alosa.spp,1971,1.09311096314724,0.0467726129460642,1.09311096314724,0.0467726129460642
Alosa.spp,1972,0.790539771758978,0.0228209397237662,0.790539771758978,0.0228209397237662
Alosa.spp,1973,1.1718734908234,0.0432638931504045,1.1718734908234,0.0432638931504045
Alosa.spp,1974,1.25970652490373,0.0442097828480171,1.25970652490373,0.0442097828480171
Alosa.spp,1975,1.34307022039219,0.0567034207938339,1.34307022039219,0.0567034207938339
Alosa.spp,1976,1.13629516796384,0.0478190053257259,1.13629516796384,0.0478190053257259
Alosa.spp,1977,1.11809159949063,0.0379469004468381,1.11809159949063,0.0379469004468381
Alosa.spp,1978,1.40733779392909,0.0736720547111904,1.40733779392909,0.0736720547111904
Alosa.spp,1979,1.02187879354308,0.0431246730241142,1.02187879354308,0.0431246730241142
Alosa.spp,1980,0.94570667809601,0.0486339994507227,0.94570667809601,0.0486339994507227
Alosa.spp,1981,0.989627551031689,0.0658583953717053,0.989627551031689,0.0658583953717053
Alosa.spp,1982,0.898494131161508,0.0599988985183025,0.898494131161508,0.0599988985183025
Alosa.spp,1983,0.869980490374207,0.065243955215403,0.869980490374207,0.065243955215403
Alosa.spp,1984,0.999348128277782,0.0871949090941132,0.999348128277782,0.0871949090941132
Alosa.spp,1985,0.97869292343068,0.063096921515722,0.97869292343068,0.063096921515722
Alosa.spp,1986,1.3780406340267,0.100179775929205,1.3780406340267,0.100179775929205
Alosa.spp,1987,1.60363158277644,0.122816240758641,1.60363158277644,0.122816240758641
Alosa.spp,1988,1.36062965595449,0.0957492413413761,1.36062965595449,0.0957492413413761
Alosa.spp,1989,1.59571832896315,0.10765080783148,1.59571832896315,0.10765080783148
Alosa.spp,1990,1.69946701269952,0.104058046456494,1.69946701269952,0.104058046456494
Alosa.spp,1991,1.96234689934577,0.129399594965673,1.96234689934577,0.129399594965673
Alosa.spp,1992,1.98326694423972,0.110273035417046,1.98326694423972,0.110273035417046
Alosa.spp,1993,2.51374858694012,0.162458362094107,2.51374858694012,0.162458362094107
Alosa.spp,1994,2.53776286604129,0.144118053416892,2.53776286604129,0.144118053416892
Alosa.spp,1995,1.71203632006728,0.107917323554964,1.71203632006728,0.107917323554964
Alosa.spp,1996,1.46249863130645,0.111849660953688,1.46249863130645,0.111849660953688
Alosa.spp,1997,1.448580315251,0.0898373672734887,1.448580315251,0.0898373672734887
Alosa.spp,1998,1.63825790038426,0.11934985787883,1.63825790038426,0.11934985787883
Alosa.spp,1999,1.66424888542756,0.113115567531235,1.66424888542756,0.113115567531235
Alosa.spp,2000,1.6421128877532,0.0909740951020712,1.6421128877532,0.0909740951020712
Alosa.spp,2001,1.88027559886534,0.111079671914379,1.88027559886534,0.111079671914379
Alosa.spp,2002,2.25202769704032,0.1261485691896,2.25202769704032,0.1261485691896
Alosa.spp,2003,1.94765517699342,0.10361224711118,1.94765517699342,0.10361224711118
Alosa.spp,2004,2.22051957914641,0.117052219358471,2.22051957914641,0.117052219358471
Alosa.spp,2005,2.31261946541462,0.123305927436655,2.31261946541462,0.123305927436655
Alosa.spp,2006,2.38488363114031,0.129765505677888,2.38488363114031,0.129765505677888
Alosa.spp,2007,2.30078304030203,0.157691455572266,2.30078304030203,0.157691455572266
Alosa.spp,2008,2.41922619412465,0.147907742163495,2.41922619412465,0.147907742163495
Alosa.spp,2009,2.38766707302405,0.144755800753298,2.38766707302405,0.144755800753298
Alosa.spp,2010,2.03409634369611,0.144116160859451,2.03409634369611,0.144116160859451
Alosa.spp,2011,1.98592609657567,0.140861384295371,1.98592609657567,0.140861384295371
Alosa.spp,2012,1.78932851033185,0.120073114746977,1.78932851033185,0.120073114746977
Alosa.spp,2013,1.69694625694711,0.121189193285636,1.69694625694711,0.121189193285636
Alosa.spp,2014,1.72906573105597,0.132217439151922,1.72906573105597,0.132217439151922
Alosa.spp,2015,1.64512507756684,0.146592383878074,1.64512507756684,0.146592383878074
Alosa.spp,2016,1.31909273977271,0.10200778018345,1.31909273977271,0.10200778018345
Alosa.spp,2017,1.03332025102593,0.114691915320813,1.03332025102593,0.114691915320813
Alosa.spp,2018,0.76628835744432,0.150750761319079,0.76628835744432,0.150750761319079
